id,source_ticker,source_name,source_cik,target_ticker,target_name,target_cik,relationship_type,raw_mention,context,confidence,confidence_tier,ai_label,ai_confidence,ai_reasoning,ai_business_logic,ai_alternative
1,HUT,Hut 8 Corp.,,TGT,TARGET CORP,,HAS_PARTNER,Target,"Our framework for securing new capacity


​


| ​",1.000,medium,incorrect,0.92,"The raw mention is the single word “Target,” appearing in a snippet that looks like a table heading (“Our framework for securing new capacity | … |”). In this context, “target” is far more likely to be a generic term meaning objective/goal/desired level (e.g., target capacity, target price, target date) or a column label in a framework table, not a reference to Target Corporation (the retail chain). There is no accompanying identifier such as “Target Corporation,” “Target Corp.,” “TGT,” or retail-related context (stores, merchandise, guest, etc.) that would anchor the mention to the public company. Additionally, the asserted relationship type (HAS_PARTNER) is unsupported by the snippet; nothing indicates a commercial partnership. From a business-logic standpoint, Hut 8 (energy infrastructure / bitcoin mining / HPC) having a partner relationship specifically with Target Corp. is implausible without strong contextual evidence.",A partner relationship between Hut 8’s energy/digital infrastructure business and Target Corp.’s mass retail operations would be unusual and would typically be explicitly described; the provided context does not support it.,"“Target” is being used as a common noun (a goal/benchmark) or a table column header (e.g., target capacity, target timeline), not as a company name."
2,MSGE,Madison Square Garden Entertainment Corp.,,MSGS,Madison Square Garden Sports Corp.,,HAS_PARTNER,Madison Square Garden Sports,Our value proposition is further strengthened by our sponsorship sales representation agreement with Madison Square Garden Sports Corp.,1.000,low,correct,0.96,The surrounding context explicitly names “Madison Square Garden Sports Corp.” and describes a “sponsorship sales representation agreement” with it. The raw mention “Madison Square Garden Sports” is a direct shortened form of the legal name Madison Square Garden Sports Corp. (ticker MSGS). There is little to no ambiguity because the mention includes the distinctive full brand name and the context even specifies the corporate suffix.,MSGE (entertainment venues/promotions) and MSGS (sports teams/related assets) are closely related MSG entities and it is plausible that MSGS would provide sponsorship sales representation services for MSGE assets via an agreement. Treating MSGS as a ‘partner’ in this context is reasonable (even if it is an affiliate).,"Unlikely. The only plausible alternative would be another entity with a similar name, but the context’s explicit ‘Sports Corp.’ wording points directly to MSGS."
3,ADBE,ADOBE INC.,,NOW,"ServiceNow, Inc.",,HAS_PARTNER,ServiceNow,"We will continue to engage in strategic partnerships to help drive the enterprise business, including our partnerships with Microsoft, Workday, ServiceNow and Notarize.",1.000,medium,correct,0.96,"The raw mention is the exact proper name “ServiceNow,” appearing in a list of strategic partnerships alongside other well-known enterprise software vendors (Microsoft, Workday) and Notarize. In this context, “partnerships with … ServiceNow” clearly refers to the company ServiceNow, Inc., not a generic term or product category. The capitalization and placement in a partner list strongly indicate the legal entity/vendor. There are no obvious alternative similarly named entities that would fit better in this enterprise-software partnership list.","Plausible and consistent: Adobe’s enterprise offerings (e.g., document/cloud workflow, experience/marketing, integrations) commonly integrate with or partner with enterprise workflow/ITSM platforms like ServiceNow, as well as Microsoft and Workday. A strategic partnership relationship is commercially sensible.","Unlikely. Could theoretically refer to the ServiceNow platform/product rather than the corporate entity, but in a partnership list this effectively still points to ServiceNow, Inc. and does not suggest a different public company."
4,TPG,TPG Inc.,,TRTX,"TPG RE Finance Trust, Inc.",,HAS_PARTNER,TPG RE Finance Trust,"We invest in real estate through four primary products: (1) TPG Real Estate Partners, (2) TPG Real Estate Thematic Advantage Core-Plus, (3) TPG RE Finance Trust, Inc.",1.000,low,correct,0.93,"The raw mention “TPG RE Finance Trust” appears in context as “TPG RE Finance Trust, Inc.” within a list of TPG’s real estate investment products. This is an exact/near-exact name match to the public company TPG RE Finance Trust, Inc. (TRTX). The surrounding text explicitly includes “Inc.” and frames it as a TPG-sponsored real estate product/vehicle, which aligns with TRTX being externally managed by an affiliate of TPG and commonly referenced by this name. There is little risk of confusion with another similarly named issuer given the specificity of the name and the TPG-branded structure.","This relationship is plausible: TPG (an alternative asset manager) would naturally reference TPG RE Finance Trust, Inc. as part of its real estate platform/products given TRTX’s TPG affiliation and external management structure. While “HAS_PARTNER” may not be the perfect relationship type (it’s more like an affiliated managed vehicle/product), the entity identification itself is consistent.","Could theoretically refer to a non-public fund or internal strategy with a similar name, but the explicit “Inc.” and the known public company with this exact name make that unlikely."
5,UHAL,U-Haul Holding Co /NV/,,EXR,Extra Space Storage Inc.,,HAS_COMPETITOR,Extra Space Storage,"Our largest competitors in the self-storage market are Public Storage Inc., Extra Space Storage, Inc., CubeSmart and Life Storage, Inc.",1.000,medium,correct,0.97,"The raw mention “Extra Space Storage” appears in a sentence explicitly listing “Our largest competitors in the self-storage market,” alongside other well-known public self-storage REITs (Public Storage, CubeSmart, Life Storage). “Extra Space Storage, Inc.” is the formal name of the public company with ticker EXR and is a direct competitor in the U.S. self-storage industry. The name match is exact (including the corporate suffix in context), and there is no plausible alternative entity with the same name in this competitive set.",U-Haul operates self-storage facilities; Extra Space Storage is a major self-storage operator/REIT. Identifying EXR as a competitor is logical and consistent with industry structure.,"Unlikely; could only refer to a local facility branded similarly, but the presence of “Inc.” and the peer list of major public self-storage companies strongly indicates the public company EXR."
6,KVYO,"Klaviyo, Inc.",,CRM,"Salesforce, Inc.",,HAS_SUPPLIER,Salesforce,"Our main competitors are:
•Marketing solution providers, such as Mailchimp and Braze;
•Large, consolidated marketing automation software providers, such as Adobe and Salesforce; and
•Data-focused vend",1.000,medium,incorrect,0.93,"The raw mention “Salesforce” appears in a list of the company’s “main competitors” (""Large, consolidated marketing automation software providers, such as Adobe and Salesforce""). This context clearly indicates Salesforce is being referenced as a competing vendor, not as a supplier to Klaviyo. While the entity mention very likely refers to Salesforce, Inc. (CRM) given the exact name and relevant marketing/CRM software context, the asserted relationship type HAS_SUPPLIER is not supported by the surrounding text.","Klaviyo (marketing automation/customer data platform) plausibly competes with Salesforce (especially Salesforce Marketing Cloud). It would be unusual for Salesforce to be characterized as a supplier in a competitors section; the business logic aligns with a COMPETITOR relationship, not supplier.","If the goal was only to resolve the name, “Salesforce” most likely is Salesforce, Inc. (CRM). The correct relationship would be COMPETITOR (or similar), not HAS_SUPPLIER."
7,FORM,FORMFACTOR INC,,BRKR,BRUKER CORP,,HAS_COMPETITOR,Bruker Corporation,"Our primary competitors in the metrology system market are Bruker Corporation, Camtek Ltd., Cohu, Inc., Filmetrics (a KLA company), Onto Innovation, and Unity SC.",0.950,medium,correct,0.96,"The raw mention is the full legal name ""Bruker Corporation,"" which directly corresponds to the public company Bruker Corporation (Bruker Corp, ticker BRKR). The surrounding context explicitly lists ""primary competitors in the metrology system market"" alongside other well-known metrology/inspection/test equipment vendors (Camtek, Cohu, Filmetrics/KLA, Onto Innovation), which matches Bruker’s Bruker Nano Surfaces / metrology instrumentation offerings used in semiconductor and materials metrology. There is no indication of a different entity with the same name in this context.","Plausible and consistent: FormFactor participates in semiconductor test/metrology markets, and Bruker sells metrology/analysis instruments and surface measurement systems that compete in segments of semiconductor/metrology systems. Competitor listing is credible.","Unlikely; ""Bruker Corporation"" is not a generic term and there are no strong alternative companies commonly referred to by this exact name in this industry context."
8,CMS-PB,CONSUMERS ENERGY CO,,LODE,Comstock Inc.,,HAS_CUSTOMER,Comstock,"26
Table of Contents

Independent Power Production:

 Presented in the following table is information about the independent power plants in which CMS Energy had an ownership interest at December 31, 2",1.000,low,incorrect,0.90,"The raw mention is only the single word “Comstock,” appearing in a section titled “Independent Power Production” and introducing a table of independent power plants in which CMS Energy had an ownership interest. In this context, “Comstock” is far more likely to be the name of a generating facility/project or a geographic/location reference (e.g., a plant or project named Comstock) within CMS’s independent power portfolio, not a reference to Comstock Inc. (formerly Comstock Mining), a Nevada-based precious metals mining company.

Name-match quality is weak: “Comstock” is a common proper noun used for places and projects and is not uniquely identifying of the public company LODE. The filing context does not mention mining, Nevada, gold/silver, “Comstock Mining,” “Comstock Inc.,” or any corporate identifiers.

Business logic also conflicts with the asserted relationship type HAS_CUSTOMER: a list of independent power plants CMS owns is about assets/investments, not customers. Even if a c","Unlikely. CMS Energy discussing independent power plants suggests asset ownership/interests, not customers. Comstock Inc. (LODE) being a customer here does not fit the context or typical utility relationships.","“Comstock” likely refers to a CMS-owned/affiliated independent power generation facility/project (or a location name) listed in the table of independent power plants, not Comstock Inc. (LODE)."
9,LGL,LGL GROUP INC,,KN,Knowles Corp,,HAS_COMPETITOR,Knowles Corporation,"Competitors include, but are not limited to, Vectron International (division of Knowles Corporation ), K&L Microwave (division of Dover Corporation), CTS Corporation, and Rakon Limited.",0.950,low,correct,0.90,"The raw mention is the full legal name “Knowles Corporation,” which directly corresponds to the public company Knowles Corp (KN). The context clarifies that the competitor is Vectron International, identified as a division of Knowles Corporation; Vectron is known in frequency control products that plausibly compete with LGL’s timing/frequency components. There is little risk of confusion with another similarly named entity because the mention includes the corporate form and is used as a parent company identifier.","LGL makes frequency/timing electronic components; Vectron (a Knowles division) operates in frequency control, making a competitor relationship plausible. While the direct competitor is Vectron, attributing competition to its parent Knowles is reasonable in SEC disclosure context.","Could be interpreted as the private/business unit name ‘Knowles Corporation’ only as the parent of Vectron rather than the competitor itself, but it still refers to the same public issuer."
10,COHU,COHU INC,,CLS,CELESTICA INC,,HAS_SUPPLIER,Celestica Inc,"Müller also serves as a director for Celestica Inc., a solutions-based company providing design, manufacturing and hardware platform and supply chain solutions.",1.000,low,incorrect,0.90,"The raw mention “Celestica Inc” in the surrounding context appears in a director/biographical disclosure: “Müller also serves as a director for Celestica Inc., a solutions-based company…”. This clearly identifies the public company Celestica Inc. (NYSE/TSX: CLS) and matches its business description (design/manufacturing and supply chain solutions). However, the asserted relationship type HAS_SUPPLIER is not supported by the context; Celestica is referenced as an outside directorship of an individual, not as a supplier to Cohu. Therefore the specific entity-relationship match (Cohu has supplier Celestica) is incorrect even though the underlying entity identification is likely right.","A supplier relationship between Cohu (semiconductor test handlers/equipment) and Celestica (electronics manufacturing services) is not established in the provided text; the mention is about governance/board roles, not procurement or supply.","The mention most likely refers to Celestica Inc. as a company where the named individual serves as a director (an ‘other directorship’/affiliation), not a supplier relationship. If treated strictly as entity resolution only, the entity is CLS, but the relationship should be something like BOARD_AFFILIATION/OTHER_DIRECTORSHIP rather than HAS_SUPPLIER."
