id,source_ticker,target_ticker,relationship_type,raw_mention,context,ai_label,ai_reasoning,human_label,human_notes
201,VVV,WMT,HAS_CUSTOMER,Walmart Inc,"Fulcher held various leadership positions at Walmart Inc., serving as Vice President Customer Strategy, Science and Journeys from October 2019 to August 2021; and Vice President Returns from February",incorrect,"The raw mention “Walmart Inc” in the context of an executive/biographical disclosure (“held various leadership positions at Walmart Inc., serving as Vice President…”) clearly refers to Walmart Inc. (WMT) as a prior employer, not as a customer of Valvoline. While the entity identification (Walmart) is correct, the asserted relationship type HAS_CUSTOMER is not supported by the surrounding text.",agree,
188,AIRG,AVGO,HAS_CUSTOMER,Broadcom,"Our customer base includes Aruba, AT&T (DIRECTV U.S., LLC), Belkin International, Inc., Broadcom, Charter Communications, Inc., Comcast Corporation, Commscope, Inc., Dish Network, Liberty Global plc.,",correct,"The mention is the full corporate name “Broadcom” appearing in a list of specific, well-known telecom/networking hardware and service companies identified as part of Airgain’s customer base. There is no additional qualifier suggesting a different entity (e.g., a local distributor or unrelated ‘Broadcom’ name), and Broadcom is a unique, globally recognized company name in this sector.",agree,
128,AGIO,BMY,HAS_PARTNER,Bristol Myers Squibb,Servier also acquired our co-commercialization rights for Bristol Myers Squibb’s IDHIFA® and the right to receive a $25.0 million potential milestone payment under our prior collaboration agreement wi,correct,"The raw mention is the full and distinctive company name “Bristol Myers Squibb,” which directly matches the target company BMY. The context discusses IDHIFA® (enasidenib), a product historically commercialized via Agios’s collaboration with Celgene; after Celgene’s acquisition, Bristol Myers Squibb became the relevant counterparty/owner, so referencing “Bristol Myers Squibb’s IDHIFA®” fits. The surrounding text also references a prior collaboration agreement and milestone payments—consistent with a partnered-development/commercialization relationship between Agios and BMS (as Celgene’s successor).",agree,
236,OMI,UPS,HAS_COMPETITOR,United Parcel Service,Major outsourced logistics competitors serving healthcare manufacturers in the United States include United Parcel Service and FedEx Corporation.,correct,"The raw mention ""United Parcel Service"" unambiguously refers to United Parcel Service, Inc. (UPS), a well-known package delivery and logistics company. The context explicitly lists it among ""major outsourced logistics competitors"" alongside FedEx, which aligns with UPS’s core business and with Owens & Minor’s healthcare logistics/distribution activities. No ambiguity from abbreviations or generic terms is present, and the relationship type (competitor in outsourced logistics) is plausible.",agree,
512,SO,GPJA,HAS_CUSTOMER,Georgia Power,"•The traditional electric operating companies – Alabama Power, Georgia Power, and Mississippi Power – are each operating public utility companies providing electric service to retail customers in thre",incorrect,"The mention ""Georgia Power"" in the context ""The traditional electric operating companies – Alabama Power, Georgia Power, and Mississippi Power – are each operating public utility companies..."" clearly refers to Georgia Power Company, a subsidiary operating utility within Southern Company’s corporate structure. However, the asserted relationship type HAS_CUSTOMER is wrong: Georgia Power is not a customer of Southern Company; it is one of Southern Company’s traditional electric operating companies (i.e., a subsidiary/affiliate).",agree,
173,CDW,NTNX,HAS_CUSTOMER,Nutanix,"We have received the highest level of certification from major vendor partners such as Cisco, Dell EMC, Hewlett Packard Enterprise, IBM, Microsoft, NetApp, Nutanix, Palo Alto Networks, Samsung and VMw",incorrect,"The raw mention “Nutanix” appears in a list of “major vendor partners” from which CDW has received certifications (Cisco, Dell EMC, HPE, IBM, Microsoft, NetApp, Nutanix, etc.). This context indicates Nutanix is a technology vendor/partner whose products CDW sells or for which CDW is certified, not a customer of CDW. While the name match to Nutanix, Inc. is strong, the asserted relationship type (HAS_CUSTOMER) is contradicted by the surrounding text.",agree,
428,NSP,ADP,HAS_COMPETITOR,Automatic Data Processing,"Our largest national competitors include the PEO divisions of large business services companies such as Automatic Data Processing, Inc.",correct,"The mention explicitly names ""Automatic Data Processing, Inc."", which is the full corporate name commonly used for ADP. In context, Insperity is discussing national competitors in the PEO (professional employer organization) market, and ADP operates a well-known PEO offering (e.g., ADP TotalSource). The relationship type (competitor) aligns with both companies' HR/payroll/PEO businesses, and there are no ambiguity red flags (not a generic term, includes Inc.).",agree,
149,SYRS,INCY,HAS_SUPPLIER,Incyte,"In addition, from the closing of this sale until the earlier of the second anniversary of such closing or the expiration or termination of the collaboration agreement, we have granted to Incyte the ri",incorrect,"The raw mention ""Incyte"" in a biotech 10‑K context about a ""collaboration agreement"" and granting rights strongly refers to Incyte Corporation (INCY), so the entity name match itself is plausible. However, the stated relationship type HAS_SUPPLIER is not supported: the snippet describes a sale closing and a collaboration agreement under which Syros granted rights to Incyte (i.e., a collaboration/licensing or strategic partner relationship), not a supplier/vendor arrangement. This mismatch in relationship is a material red flag for this resolution case.",agree,
207,MSFT,ORCL,HAS_SUPPLIER,Oracle,"12
PART I
Item 1

Competition

Azure faces diverse competition from companies such as Amazon, Google, IBM, Oracle, VMware, and open source offerings.",incorrect,"In the cited passage, “Oracle” appears in a list of companies that Azure competes with (Amazon, Google, IBM, Oracle, VMware). This context clearly indicates a competitor, not a supplier relationship. While the name likely refers to Oracle Corp (ORCL) as a major cloud/enterprise IT vendor, the resolved relationship type HAS_SUPPLIER is not supported by the text.",agree,
238,IVDN,SYK,HAS_COMPETITOR,Stryker,"|

Some of our biggest competitors in the Arctic Armor™
line are:

| ● | Ice Clam Corporation |
|---|----------------------|
| ● | Vexilar              |
| ● | Mustang Survival     |
| ● | Frabill",incorrect,"The context is a list of competitors for Innovative Designs’ Arctic Armor cold-weather clothing line. The surrounding competitor names (Ice Clam, Vexilar, Mustang Survival, Frabill) are outdoor/ice-fishing and survival apparel/gear companies, not medical device manufacturers. Stryker Corporation (SYK) is a medical technology company and would not reasonably be a direct competitor in cold-weather clothing/house wrap markets. Additionally, the provided competitor table snippet does not even include ‘Stryker,’ suggesting the extracted mention may be spurious or from a different use of the word.",agree,
480,CLNE,WCN,HAS_CUSTOMER,Waste Connections,"As of December 31, 2023, we fuel approximately 16,000 refuse vehicles for customers including Waste Management, Republic Services, Waste Connections, GFL Environmental, Atlas Disposal, Burrtec, CR&R,",correct,"The mention ""Waste Connections"" appears in a list of specific refuse fleet customers (alongside Waste Management, Republic Services, GFL, etc.) that Clean Energy Fuels provides fuel for. ""Waste Connections"" is the common short name for Waste Connections, Inc. (NYSE: WCN). The context (refuse vehicles) directly aligns with WCN’s core waste collection business and use of refuse truck fleets that could be fueled by RNG/CNG/LNG.",agree,
140,ONC,AMGN,HAS_SUPPLIER,Amgen,"and Amgen (the “Share Purchase Agreement”), we issued to Amgen 206,635,013 ordinary shares in the form of 15,895,001 American Depositary Shares (ADSs) of BeiGene, Ltd.",incorrect,"The mention ""Amgen"" in the provided context refers to a counterparty to a Share Purchase Agreement that received shares/ADSs of BeiGene (BeOne Medicines). This is an equity investment/strategic transaction context, not a supplier relationship. While the name likely does refer to Amgen Inc. (AMGN) as an entity, the asserted relationship type HAS_SUPPLIER is not supported by the text and makes the overall resolution case incorrect.",agree,
427,SHO,ABNB,HAS_PARTNER,Airbnb,"and its trading partners, changes impacting global travel, regional or global economic slowdowns, which may diminish the desire for leisure travel or the need for business travel, as well as any type",incorrect,"The raw mention “Airbnb” clearly denotes the Airbnb platform/company, so the name-to-ABNB mapping is plausible. However, the provided context (“…and its trading partners, changes impacting global travel…”) reads like a risk-factor discussion (likely about Airbnb’s impact/competition or general travel ecosystem), not a statement that Sunstone Hotel Investors has a partnership with Airbnb. Sunstone is a hotel REIT; Airbnb is typically discussed as an alternative lodging/competitive factor rather than a business partner. The relationship type HAS_PARTNER is not supported by the snippet, making the resolved ‘partner’ linkage incorrect for this mention.",agree,
105,DGWR,DG,HAS_SUPPLIER,DG,"3


Asset
Purchase Agreement

On
February 8, 2021, the Company, through its wholly owned subsidiary DG Research, Inc.",incorrect,"The raw mention “DG” appears in the phrase “wholly owned subsidiary DG Research, Inc.” In this context, “DG” is part of the name of the registrant’s subsidiary and is not a reference to Dollar General Corp. There is no indication of discount retailing, a vendor relationship, or any procurement/supplier context. The asserted relationship type (HAS_SUPPLIER) is also inconsistent with the text, which describes a corporate subsidiary involved in an asset purchase agreement.",agree,
183,GRDX,NDAQ,HAS_SUPPLIER,Nasdaq,"The market price for our Common Stock has been and may continue to be volatile and subject to wide fluctuations in response to factors including the following:
·sales or potential sales of substantial",incorrect,"The raw mention “Nasdaq” appears in a generic risk-factor discussion about volatility in the market price of the issuer’s common stock. In 10-Ks this typically references the stock market/exchange where the shares trade (e.g., Nasdaq Capital Market), not a vendor relationship. The provided context does not indicate any procurement of goods/services from Nasdaq, nor any contractual supplier relationship. While “Nasdaq” could refer to the Nasdaq exchange ultimately owned by Nasdaq, Inc., the asserted relationship type (HAS_SUPPLIER) is not supported by the text snippet.",agree,
111,CMMB,TGT,HAS_PARTNER,Target,"Target expression and engagement

Chemomab regularly collaborates with leading academic centers around the world to investigate
the role of CCL24 and CM-101 in various indications.",incorrect,"The raw mention ""Target"" appears in the phrase ""Target expression and engagement,"" which is standard scientific/biomedical terminology referring to a biological target (e.g., target protein expression) rather than a proper noun identifying Target Corporation. The surrounding context discusses Chemomab’s collaborations with academic centers on CCL24 and CM-101, consistent with biotech R&D and not a commercial partnership with a retail company. There is no contextual support (e.g., ‘Target Corporation’, ‘retail’, ‘stores’, ‘supplier’, ‘partner’) tying the mention to ticker TGT.",agree,
502,LBRDA,TMUS,HAS_COMPETITOR,T-Mobile US,"Mobile Competition

Charter and GCI Holdings’ mobile services face competition from national mobile network operators including AT&T, Verizon and T-Mobile US, Inc.",correct,"The filing explicitly lists ""T-Mobile US, Inc."" among national mobile network operators competing with Charter and GCI Holdings’ mobile services. The name matches the public company T-Mobile US, Inc. (TMUS) unambiguously, including the corporate suffix, and the described competitive dynamic (mobile services competition) aligns with T-Mobile’s business.",agree,
